message_id,action,message_type,reason,confidence,evidence_message_ids
msg_015,notify,urgent,This message requires immediate attention.,0.94,message_0023;message_0045;message_0199
msg_051,notify,payment,Payment reminder should notify the user.,0.95,message_0257;message_0337;message_0356
msg_097,notify,urgent,This message requires immediate attention.,0.94,message_0366;message_0359;message_0054
msg_089,mute,greeting,Greeting message is low priority.,0.78,message_0382;message_0383;message_0238
msg_053,notify,payment,Payment reminder should notify the user.,0.95,message_0161;message_0253;message_0411
msg_059,notify,business_update,This appears to be a business update tied to recent activity.,0.92,message_0053;message_0024;message_0173
msg_024,notify,payment,Payment reminder should notify the user.,0.95,message_0257;message_0337;message_0356
msg_072,notify,urgent,This message requires immediate attention.,0.94,message_0199;message_0211;message_0089
msg_036,mute,forward,Forwarded content is low value and often noisy.,0.8,message_0283;message_0127;message_0128
msg_076,mute,spam,This looks like spammy marketing content.,0.8,message_0207;message_0208;message_0159
msg_055,notify,urgent,This message requires immediate attention.,0.94,message_0367;message_0166;message_0168
msg_102,mute,greeting,Greeting message is low priority.,0.78,message_0371;message_0230;message_0055
msg_080,mute,greeting,Greeting message is low priority.,0.78,message_0216;message_0058;message_0130
msg_093,notify,urgent,This message requires immediate attention.,0.94,message_0303;message_0398;message_0349
msg_034,notify,urgent,This message requires immediate attention.,0.94,message_0042;message_0013;message_0123
msg_035,digest,unknown,"No strong signal was found, so the message was kept in the digest.",0.6,message_0273;message_0302;message_0281
msg_101,digest,personal,This looks like a normal personal message without urgent or risky signals.,0.74,message_0370;message_0229;message_0268
msg_041,notify,event,This looks like an operational or event update that may matter soon.,0.86,message_0329;message_0287;message_0308
msg_011,mute,greeting,Greeting message is low priority.,0.78,message_0080;message_0132;message_0014
msg_110,notify,urgent,This message requires immediate attention.,0.94,message_0238;message_0361;message_0381
msg_095,mute,greeting,Greeting message is low priority.,0.78,message_0235;message_0056;message_0213
msg_074,mute,forward,Forwarded content is low value and often noisy.,0.8,message_0301;message_0204;message_0203
msg_073,notify,payment,Payment reminder should notify the user.,0.95,message_0023;message_0045;message_0213
msg_054,mute,greeting,Greeting message is low priority.,0.78,message_0389;message_0301;message_0203
msg_068,mute,greeting,Greeting message is low priority.,0.78,message_0073;message_0191;message_0010
msg_100,mute,greeting,Greeting message is low priority.,0.78,message_0362;message_0228;message_0055
msg_062,notify,event,This looks like an operational or event update that may matter soon.,0.86,message_0289;message_0043;message_0129
msg_096,digest,personal,This looks like a normal personal message without urgent or risky signals.,0.74,message_0238;message_0361;message_0381
msg_043,mute,forward,Forwarded content is low value and often noisy.,0.8,message_0097;message_0067;message_0129
msg_077,notify,event,This looks like an operational or event update that may matter soon.,0.86,message_0403;message_0364;message_0051
msg_081,digest,unknown,"No strong signal was found, so the message was kept in the digest.",0.6,message_0392;message_0390;message_0391
msg_025,notify,business_update,This appears to be a business update tied to recent activity.,0.94,message_0400;message_0297;message_0031
msg_084,digest,unknown,"No strong signal was found, so the message was kept in the digest.",0.6,message_0393;message_0392;message_0390
msg_022,notify,payment,Payment reminder should notify the user.,0.95,message_0099;message_0100;message_0049
